
Exported on September 23, 2025 at 10:15 AM PDT

Id,FirstName,LastName,Email,Phone,Company,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Industry,LeadSource,Type,Status__c,Ownership,AnnualRevenue,NumberOfEmployees,CreatedDate,LastActivityDate
0018308850559901,Jodi,Roberson,jodi.roberson@jacobs.info,(515)797-2258,Baker LLC,8505 Ann Station Apt. 230,Reyesfurt,SD,38128,Sudan,Transportation,Paid Search,Customer,On Hold,Public,369559249.59,1674,2024-09-14,2025-01-30
0013489169580173,Susan,Stewart,susan.stewart@aguilar-gardner.com,951-462-7256,Smith LLC,78059 Moore Coves,Port Kaitlyn,ND,56044,Switzerland,Financial Services,Outbound Call,Reseller,Inactive,Subsidiary,1846766651.06,887,2024-11-26,2025-09-08
0015616734097065,Heidi,Larson,heidi.larson@watts.com,691-876-0398,Smith Inc,270 Miller Trail,North Michaelburgh,OK,57469,Barbados,Hospitality,Organic Search,Prospect,On Hold,Government,1639689368.62,4310,2025-01-28,2025-01-31
0018418174364876,Denise,Richardson,denise.richardson@day-stevens.com,+1-796-667-2741x6958,Dennis-Ashley,283 Rose Ford Suite 037,Lake Charles,KS,22601,Mauritania,Hospitality,Partner Referral,Prospect,Pending,Subsidiary,490684237.54,4450,2023-11-20,2025-07-11
0016669461841307,Tom,Palmer,tom.palmer@torres-rivera.com,001-856-957-0717x739,Andrews-Edwards,838 Steele Turnpike,Port David,VA,11214,Israel,Healthcare,Paid Search,Customer,On Hold,Private,428312163.79,2053,2025-03-18,2025-06-24
0013087173697457,Matthew,Gonzalez,matthew.gonzalez@acosta-rodgers.com,+1-887-080-7931x27665,Henson LLC,3851 Christina Loaf Suite 289,South Anthony,MI,92023,Niger,Energy,Customer Referral,Partner,Pending,Subsidiary,1854887109.79,3709,2024-09-04,2025-08-27
0013084000623353,David,Mccarthy,david.mccarthy@brock.com,+1-959-456-3005x338,Walker-Harvey,70923 Harold Station,Bellborough,IA,57205,Turks and Caicos Islands,Hospitality,Event,Reseller,Active,Public,1598451132.11,1073,2023-10-31,2024-05-12
0015480100716480,Victor,Jones,victor.jones@pham-carter.org,+1-027-839-0519x45634,"Pena, Harris and Soto",74282 Wilson Summit,Port Stacy,IL,26950,Nepal,Healthcare,Trade Show,Customer,On Hold,Private,332642082.49,2595,2024-08-08,2025-09-12
0011134054250842,Michael,Walker,michael.walker@vance.com,+1-912-568-5539x807,"Johnson, Underwood and Wilkinson",824 Warner Parkway,Oliviabury,WV,05529,Kenya,Manufacturing,Outbound Call,Customer,Active,Private,1165866556.59,2084,2025-09-05,2025-09-07
0017554189953649,Nathaniel,Romero,nathaniel.romero@bridges-frank.com,(000)905-7574x09675,"Gonzalez, Kim and Thompson",693 Jones Cliff,Marybury,MT,37314,Guam,Media,Trade Show,Reseller,Inactive,Subsidiary,942795324.55,929,2023-11-11,2024-06-06
0019254103152928,Lori,Williams,lori.williams@williams.com,001-388-492-5963x24993,"Clark, Ward and Fowler",48732 Olivia Branch Apt. 977,Tuckerland,WV,62332,Zambia,Healthcare,Trade Show,Prospect,Pending,Subsidiary,1837282383.06,856,2025-02-05,2025-09-02
0012963285859249,Rita,Harris,rita.harris@williamson.com,001-537-399-1403x71803,"Wood, Rojas and Rodriguez",019 Vanessa Rest,East Samuel,TN,79904,Norway,Transportation,Email Campaign,Reseller,Active,Subsidiary,1729515811.94,3131,2024-10-10,2025-04-17
0013500787612690,Andrea,Grant,andrea.grant@rose.org,9760582495,Hunt Group,25291 Ruiz Lake Suite 851,Lake Natasha,NC,63102,Cayman Islands,Healthcare,Paid Search,Reseller,On Hold,Public,1732388734.05,1024,2024-01-14,2024-03-05
0018786995415593,Cynthia,Kennedy,cynthia.kennedy@rodriguez.net,(843)048-7234x95434,Watts-Heath,08680 Conner Plaza,Port Michael,RI,66267,Korea,Media,Partner Referral,Reseller,Inactive,Private,1594290062.81,3656,2024-11-01,2025-08-20
0011643381259610,Marcus,Butler,marcus.butler@cameron.com,001-664-150-8544,Smith and Sons,921 Foster Walks,Matthewmouth,WY,71089,Russian Federation,Education,Email Campaign,Prospect,Pending,Subsidiary,599576353.38,2633,2024-01-22,2025-04-04
0013141157596666,Madison,York,madison.york@carter.net,+1-451-445-2715,Collins-Anderson,016 Wagner Estate,Melindamouth,TN,67261,Christmas Island,Manufacturing,Organic Search,Reseller,Active,Government,1166893581.89,2639,2024-09-01,2025-02-09
0013814680306256,Teresa,Patterson,teresa.patterson@davis.biz,(909)149-5927,Wiggins Ltd,010 Hudson Loaf,Jessicaville,MS,05460,Samoa,Technology,Organic Search,Prospect,Pending,Subsidiary,1530162328.56,4622,2024-10-05,2025-02-10
0011292967294459,Bryan,Johnson,bryan.johnson@avila-lee.com,001-233-381-7225,"Kim, Smith and Zimmerman",4407 Alvarez Forges Suite 532,Connerborough,NY,82937,Falkland Islands (Malvinas),Education,Trade Show,Prospect,Active,Government,29934479.1,876,2025-08-01,2025-08-30
0012149212906032,Susan,Adams,susan.adams@rodriguez.com,1736478011,"Eaton, Norman and Manning",39750 Ryan Pass Suite 890,Hallchester,FL,34029,Egypt,Education,Email Campaign,Customer,On Hold,Private,993906981.75,3348,2024-10-29,2025-08-01
0011028629983639,Mitchell,Camacho,mitchell.camacho@wang.net,1352837668,Mitchell and Sons,41915 Maurice Plaza Apt. 769,Port Sheri,ID,68400,Argentina,Energy,Customer Referral,Prospect,Active,Private,515867447.31,2346,2025-07-09,2025-07-16
0014845688941546,Brittany,Day,brittany.day@scott.info,553-648-3679,Clark-Winters,847 Webster Motorway Apt. 658,New Shannon,WI,76788,Maldives,Financial Services,Organic Search,Partner,Active,Public,762754427.88,2931,2025-04-13,2025-07-03
0016548421262691,Elizabeth,Berry,elizabeth.berry@johnson.net,(805)733-9442,Griffin and Sons,3948 Connor Isle Apt. 884,Lake Matthew,SD,73513,Congo,Energy,Customer Referral,Customer,Inactive,Public,1670369592.27,2883,2024-07-15,2024-10-27
0015495380752727,Stacey,Erickson,stacey.erickson@poole.com,+1-547-748-3093,Graham Ltd,6313 Black Streets Apt. 419,Port Staceymouth,ND,27854,Senegal,Retail,Partner Referral,Customer,Active,Private,532901740.11,2225,2024-09-19,2024-11-04
0016094801776940,Stacey,Ellis,stacey.ellis@koch.org,(583)341-1189,Silva LLC,835 Heather Park Apt. 475,East Markmouth,PA,96834,Bermuda,Energy,Paid Search,Partner,Inactive,Private,1517861831.69,4057,2024-07-04,2025-06-21
0011200117591278,Dawn,Goodwin,dawn.goodwin@lewis.com,001-117-757-1376x08873,"Cline, Brown and White",9492 Matthew Curve Apt. 450,West Brittanyborough,WI,61641,Jordan,Education,Partner Referral,Prospect,Active,Private,875443282.75,4690,2025-06-29,2025-07-06
0016612025619422,Kathryn,Buchanan,kathryn.buchanan@cunningham-perez.com,8145067610,Oneill-Wilson,85170 Arnold Pines,Estesberg,TN,04794,Guatemala,Healthcare,Web,Reseller,On Hold,Public,939232225.55,1986,2025-09-16,2025-09-17
0015370772627719,Ashley,Arellano,ashley.arellano@shaffer.com,001-575-642-1341x760,Berry Ltd,94079 Jacob Rest Apt. 543,Espinozaland,CO,14008,Gambia,Media,Paid Search,Partner,Inactive,Subsidiary,1892280728.6,2039,2024-11-24,2025-07-17
0014677318819929,Nicole,Blair,nicole.blair@hogan.net,590-030-1256,Ferguson LLC,5203 Kayla Viaduct,New Josephview,VA,05441,Sudan,Government,Web,Partner,Inactive,Public,1038711172.82,2182,2025-06-25,2025-09-04
0015395454480829,William,Leon,william.leon@blake-patterson.info,+1-937-500-9623,Ellis-Colon,6255 Sara Parks,Port Jasmin,GA,55048,Egypt,Healthcare,Trade Show,Customer,Pending,Subsidiary,1158012641.98,4854,2023-12-31,2024-02-25
0017694911965876,Jose,Larson,jose.larson@collins.org,308-036-8385x5229,"Powell, Bright and Edwards",63118 Linda Freeway,Port Elizabethstad,TN,42491,Niue,Education,Paid Search,Customer,On Hold,Subsidiary,1220679511.78,361,2025-04-29,2025-06-23
0011053010299857,Timothy,Melton,timothy.melton@shaw.org,001-899-025-3682,Huffman-Ortiz,941 James Via,South Blakeberg,ME,14142,Saint Pierre and Miquelon,Media,Paid Search,Reseller,Pending,Private,860230810.55,1016,2024-08-17,2025-01-31
0011698183731787,Jerome,Holmes,jerome.holmes@scott-jones.com,582.915.1611,Lowe-Owen,49301 Heidi Fields,East Becky,ID,77335,Zimbabwe,Technology,Organic Search,Prospect,Inactive,Government,1513201461.32,1520,2025-01-18,2025-03-05
